Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,1,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","$43,600 ",80
Diploma,1,04. Architecture and related services,04.09. Architectural sciences and technology,"$44,300 ",620
Master's degree,1,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)","$52,600 ",130
Master's degree,1,04. Architecture and related services,"04.03. City/urban, community and regional planning","$65,300 ",40
Master's degree,1,04. Architecture and related services,04.04. Environmental design/architecture,"$65,100 ",30
Diploma,2,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","$50,300 ",80
Diploma,2,04. Architecture and related services,04.09. Architectural sciences and technology,"$48,700 ",600
Master's degree,2,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)","$55,400 ",130
Master's degree,2,04. Architecture and related services,"04.03. City/urban, community and regional planning","$70,900 ",40
Master's degree,2,04. Architecture and related services,04.04. Environmental design/architecture,"$66,300 ",30
Diploma,3,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","$52,300 ",80
Diploma,3,04. Architecture and related services,04.09. Architectural sciences and technology,"$51,100 ",600
Master's degree,3,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)","$58,100 ",140
Master's degree,3,04. Architecture and related services,"04.03. City/urban, community and regional planning","$71,900 ",50
Master's degree,3,04. Architecture and related services,04.04. Environmental design/architecture,"$67,400 ",30
Diploma,1,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Diploma,4,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","$55,400 ",70
Diploma,4,04. Architecture and related services,04.09. Architectural sciences and technology,"$53,600 ",590
Master's degree,4,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)","$60,900 ",140
Diploma,1,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,,
Master's degree,4,04. Architecture and related services,"04.03. City/urban, community and regional planning","$66,700 ",50
Master's degree,4,04. Architecture and related services,04.04. Environmental design/architecture,"$67,800 ",30
Diploma,5,04. Architecture and related services,"04.06. Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","$56,000 ",80
Diploma,1,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Diploma,5,04. Architecture and related services,04.09. Architectural sciences and technology,"$54,300 ",590
Master's degree,5,04. Architecture and related services,"04.02. Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)","$64,300 ",130
Master's degree,5,04. Architecture and related services,"04.03. City/urban, community and regional planning","$74,200 ",50
Diploma,1,54. History,54.01. History,,
Master's degree,5,04. Architecture and related services,04.04. Environmental design/architecture,"$65,000 ",30
Bachelor's degree,1,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,"$31,600 ",60
Bachelor's degree,1,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies","$32,200 ",100
Bachelor's degree,2,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,"$39,600 ",50
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.10. Food science and technology,,
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,,
Bachelor's degree,2,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies","$38,500 ",100
Bachelor's degree,3,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,"$38,800 ",50
Bachelor's degree,1,03. Natural resources and conservation,03.05. Forestry,,
Bachelor's degree,1,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Bachelor's degree,3,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies","$39,900 ",100
Bachelor's degree,4,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,"$37,700 ",50
Bachelor's degree,4,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies","$45,200 ",100
Bachelor's degree,5,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,"$41,100 ",50
Bachelor's degree,5,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies","$48,400 ",100
Diploma,1,"09. Communication, journalism and related programs",09.04. Journalism,"$31,700 ",280
Diploma,1,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$35,900 ",500
Diploma,1,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$50,200 ",170
Bachelor's degree,1,11. Computer and information sciences and support services,11.04. Information science/studies,,
Bachelor's degree,1,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$43,600 ",500
Bachelor's degree,1,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Bachelor's degree,1,"09. Communication, journalism and related programs",09.04. Journalism,"$39,000 ",120
Bachelor's degree,1,13. Education,"13.02. Bilingual, multilingual and multicultural education",,
Bachelor's degree,1,13. Education,13.04. Educational administration and supervision,,
Bachelor's degree,1,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$41,700 ",30
Bachelor's degree,1,13. Education,"13.06. Educational assessment, evaluation and research",,
Bachelor's degree,1,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$46,800 ",110
Master's degree,1,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$56,800 ",20
Bachelor's degree,1,14. Engineering,"14.01. Engineering, general",,
Diploma,2,"09. Communication, journalism and related programs",09.04. Journalism,"$35,900 ",270
Diploma,2,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$40,700 ",510
Diploma,2,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$53,000 ",170
Bachelor's degree,2,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$47,600 ",490
Bachelor's degree,2,"09. Communication, journalism and related programs",09.04. Journalism,"$44,000 ",120
Bachelor's degree,2,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$50,900 ",20
Bachelor's degree,2,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$53,900 ",100
Diploma,3,"09. Communication, journalism and related programs",09.04. Journalism,"$37,500 ",280
Diploma,3,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$42,900 ",510
Diploma,3,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$54,800 ",170
Bachelor's degree,3,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$52,600 ",480
Bachelor's degree,1,14. Engineering,14.36. Manufacturing engineering,,
Bachelor's degree,3,"09. Communication, journalism and related programs",09.04. Journalism,"$44,400 ",120
Bachelor's degree,1,15. Engineering technologies and engineering-related fields,"15.00. Engineering technology, general",,
Bachelor's degree,1,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Bachelor's degree,1,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,,
Bachelor's degree,3,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$41,400 ",30
Bachelor's degree,3,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$60,100 ",110
Master's degree,3,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$96,100 ",30
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.04. Slavic, Baltic and Albanian languages, literatures and linguistics",,
Bachelor's degree,1,"16. Aboriginal and foreign languages, literatures and linguistics","16.05. Germanic languages, literatures and linguistics",,
Diploma,4,"09. Communication, journalism and related programs",09.04. Journalism,"$37,300 ",280
Diploma,4,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$44,700 ",500
Bachelor's degree,1,19. Family and consumer sciences/human sciences,"19.01. Family and consumer sciences/human sciences, general",,
Diploma,4,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$56,200 ",170
Bachelor's degree,4,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$56,700 ",470
Bachelor's degree,1,19. Family and consumer sciences/human sciences,19.09. Apparel and textiles,,
Bachelor's degree,4,"09. Communication, journalism and related programs",09.04. Journalism,"$49,800 ",110
Bachelor's degree,4,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$42,500 ",20
Bachelor's degree,4,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$64,000 ",100
Diploma,5,"09. Communication, journalism and related programs",09.04. Journalism,"$40,000 ",290
Diploma,5,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$46,500 ",520
Diploma,5,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$51,300 ",180
Bachelor's degree,1,26. Biological and biomedical sciences,26.03. Botany/plant biology,,
Bachelor's degree,5,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$54,400 ",490
Bachelor's degree,5,"09. Communication, journalism and related programs",09.04. Journalism,"$53,300 ",100
Bachelor's degree,5,"09. Communication, journalism and related programs","09.07. Radio, television and digital communication","$47,700 ",30
Bachelor's degree,5,"09. Communication, journalism and related programs","09.09. Public relations, advertising and applied communication","$62,600 ",100
Master's degree,5,"09. Communication, journalism and related programs",09.01. Communication and media studies,"$66,800 ",20
Bachelor's degree,1,26. Biological and biomedical sciences,26.10. Pharmacology and toxicology,,
Bachelor's degree,1,26. Biological and biomedical sciences,"26.11. Biomathematics, bioinformatics, and computational biology",,
Bachelor's degree,1,26. Biological and biomedical sciences,26.12. Biotechnology,,
Certificate,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$31,300 ",100
Diploma,1,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,"$33,500 ",120
Diploma,1,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,"$32,500 ",170
Diploma,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$33,200 ",190
Bachelor's degree,1,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$41,400 ",40
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,"30.15. Science, technology and society",,
Certificate,2,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$34,900 ",100
Diploma,2,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,"$41,700 ",110
Diploma,2,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,"$36,800 ",170
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Diploma,2,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$36,700 ",200
Bachelor's degree,1,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",,
Bachelor's degree,1,"31. Parks, recreation, leisure and fitness studies","31.03. Parks, recreation and leisure facilities management",,
Bachelor's degree,2,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$42,300 ",60
Certificate,3,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$35,600 ",90
Bachelor's degree,1,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Bachelor's degree,1,38. Philosophy and religious studies,"38.99. Philosophy and religious studies, other",,
Bachelor's degree,1,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Bachelor's degree,1,39. Theology and religious vocations,39.06. Theological and ministerial studies,,
Bachelor's degree,1,39. Theology and religious vocations,"39.99. Theology and religious vocations, other",,
Diploma,3,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,"$41,700 ",130
Bachelor's degree,1,40. Physical sciences,40.02. Astronomy and astrophysics,,
Bachelor's degree,1,40. Physical sciences,40.04. Atmospheric sciences and meteorology,,
Diploma,3,10. Communications technologies/technicians and support services,10.02. Audiovisual communications technologies/technicians,"$42,100 ",170
Diploma,3,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$37,800 ",190
Bachelor's degree,3,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$47,700 ",60
Certificate,4,10. Communications technologies/technicians and support services,10.03. Graphic communications,"$35,600 ",90
Diploma,4,10. Communications technologies/technicians and support services,10.01. Communications technology/technician,"$43,100 ",130
